Entity,Code,Year,Annual CO2 emissions from land-use change,Annual CO2 emissions from fossil fuels and industry
Africa,,1850,404387700,0
Africa,,1851,464510820,0
Africa,,1852,505201900,0
Africa,,1853,536635000,0
Africa,,1854,551045440,0
Africa,,1855,567202600,0
Africa,,1856,576914100,0
Africa,,1857,589346200,0
Africa,,1858,595739400,0
Africa,,1859,603230800,0
Africa,,1860,413052930,0
Africa,,1861,341021200,0
Africa,,1862,297596500,0
Africa,,1863,270895600,0
Africa,,1864,252227710,0
Africa,,1865,245319940,0
Africa,,1866,232894690,0
Africa,,1867,228110460,0
Africa,,1868,219825710,0
Africa,,1869,215698690,0
Africa,,1870,221864660,0
Africa,,1871,224635660,0
Africa,,1872,228713440,0
Africa,,1873,227920260,0
Africa,,1874,226807540,0
Africa,,1875,228724800,0
Africa,,1876,227744050,0
Africa,,1877,225547920,0
Africa,,1878,223263820,0
Africa,,1879,228004640,0
Africa,,1880,228602050,0
Africa,,1881,234467520,0
Africa,,1882,235647520,0
Africa,,1883,233085870,0
Africa,,1884,235299230,21984
Africa,,1885,234001250,36640
Africa,,1886,236311040,47632
Africa,,1887,234167660,47632
Africa,,1888,238731920,80608
Africa,,1889,237542290,131904
Africa,,1890,253310240,296784
Africa,,1891,260734480,296784
Africa,,1892,270561380,479984
Africa,,1893,275108700,1799024
Africa,,1894,274067100,2432896
Africa,,1895,280554500,3337904
Africa,,1896,276097570,4257568
Africa,,1897,279650780,4777856
Africa,,1898,278446500,6049264
Africa,,1899,280485700,5517984
Africa,,1900,301435500,2330304
Africa,,1901,313945700,3909488
Africa,,1902,323905000,5825760
Africa,,1903,329160770,7895920
Africa,,1904,336938240,8910848
Africa,,1905,337761060,10262864
Africa,,1906,337767200,11717472
Africa,,1907,337888260,12930256
Africa,,1908,340114720,13402912
Africa,,1909,341387140,15385136
Africa,,1910,376611000,17411328
Africa,,1911,392885400,16865392
Africa,,1912,405531070,17953600
Africa,,1913,415436800,19606064
Africa,,1914,424139700,19551104
Africa,,1915,426818050,19606064
Africa,,1916,428290800,23255408
Africa,,1917,429938430,25343888
Africa,,1918,439158800,24724672
Africa,,1919,438559870,25442816
Africa,,1920,495357380,28051584
Africa,,1921,525404030,27985632
Africa,,1922,556357400,23969888
Africa,,1923,573015600,29044528
Africa,,1924,590826200,30631040
Africa,,1925,602780740,32184576
Africa,,1926,606849300,34437936
Africa,,1927,619124400,33840704
Africa,,1928,623589250,34770320
Africa,,1929,637465900,35801616
Africa,,1930,767944260,33695670
Africa,,1931,855645630,29463712
Africa,,1932,905634500,26622752
Africa,,1933,938251840,28491132
Africa,,1934,961849340,32539280
Africa,,1935,981012600,35909544
Africa,,1936,998822660,39015950
Africa,,1937,1007424830,41844264
Africa,,1938,1007321540,44013164
Africa,,1939,1023018000,46852930
Africa,,1940,1503204200,49649184
Africa,,1941,1798671100,54023456
Africa,,1942,1965280000,58822884
Africa,,1943,2080268800,60119628
Africa,,1944,2134269600,66632910
Africa,,1945,2201626400,67527180
Africa,,1946,2230355000,68159370
Africa,,1947,2259585300,67934744
Africa,,1948,2284318200,71733140
Africa,,1949,2315869700,77323530
Africa,,1950,2620273000,94868000
Africa,,1951,2408675800,101125270
Africa,,1952,2335860200,110325210
Africa,,1953,2327527400,112007010
Africa,,1954,2364841000,117536136
Africa,,1955,2418757000,129402480
Africa,,1956,2485917400,135106240
Africa,,1957,2575421400,141593100
Africa,,1958,2662507300,148670910
Africa,,1959,2735056400,147841220
Africa,,1960,2601539300,156567170
Africa,,1961,1950051100,161994320
Africa,,1962,1919435800,166334880
Africa,,1963,1732094500,176334850
Africa,,1964,1676734700,193639330
Africa,,1965,1306523400,213634380
Africa,,1966,1274112000,221082080
Africa,,1967,1181235200,237045170
Africa,,1968,1525505900,257384030
Africa,,1969,1286103700,277916000
Africa,,1970,1217705700,302623900
Africa,,1971,958157630,331861400
Africa,,1972,1140204400,351871100
Africa,,1973,899785540,378003360
Africa,,1974,892212740,388389600
Africa,,1975,882593800,387265120
Africa,,1976,684895400,420141100
Africa,,1977,764594750,433115100
Africa,,1978,613761660,462487070
Africa,,1979,649019400,499060700
Africa,,1980,597956700,535678370
Africa,,1981,657815940,548570700
Africa,,1982,598485800,571727200
Africa,,1983,894724740,594561000
Africa,,1984,1117343000,649325060
Africa,,1985,1259780600,665686400
Africa,,1986,953791200,689698050
Africa,,1987,920203600,689703300
Africa,,1988,883048500,724696800
Africa,,1989,864726200,697796860
Africa,,1990,967455740,658281400
Africa,,1991,959186600,687829100
Africa,,1992,1187251200,666901500
Africa,,1993,1260734800,706661500
Africa,,1994,1391178400,790281400
Africa,,1995,1401911000,844556600
Africa,,1996,1300705200,872320830
Africa,,1997,1330516600,893989200
Africa,,1998,1431628400,912442100
Africa,,1999,1274919700,899677440
Africa,,2000,1199457200,930042600
Africa,,2001,1270840800,919542850
Africa,,2002,1594559600,899274200
Africa,,2003,1639127000,988565440
Africa,,2004,1513779000,1044866750
Africa,,2005,1393448100,1063180000
Africa,,2006,1366815100,1092165900
Africa,,2007,1500003300,1122721400
Africa,,2008,1714935300,1175619600
Africa,,2009,2014709600,1173163400
Africa,,2010,2277716500,1215373700
Africa,,2011,2481933000,1255083900
Africa,,2012,2206099000,1255851500
Africa,,2013,1939350400,1265469700
Africa,,2014,1608325100,1344915500
Africa,,2015,1464186800,1319787300
Africa,,2016,1461666800,1355493500
Africa,,2017,1480332900,1369709700
Africa,,2018,1226966100,1357075100
Africa,,2019,1065325900,1457568100
Africa,,2020,1154762100,1356435700
Africa,,2021,1188654800,1435214100
Africa,,2022,1115869600,1416626600
Asia,,1850,965786600,13187
Asia,,1851,1005695170,0
Asia,,1852,1002766500,0
Asia,,1853,1015794800,0
Asia,,1854,1000155000,0
Asia,,1855,984328500,39987
Asia,,1856,993355650,0
Asia,,1857,989763650,0
Asia,,1858,986183100,450641
Asia,,1859,995232960,696040
Asia,,1860,944812350,730781
Asia,,1861,909483800,608614
Asia,,1862,876219260,650756
Asia,,1863,870736000,715165
Asia,,1864,845738800,694808
Asia,,1865,817837300,829874
Asia,,1866,802413600,1204999
Asia,,1867,785303800,636119
Asia,,1868,760672400,527105
Asia,,1869,742364600,747343
Asia,,1870,732470140,676755
Asia,,1871,719336960,899720
Asia,,1872,723565950,972686
Asia,,1873,716678100,930038
Asia,,1874,707260300,1633613
Asia,,1875,690707400,2702004
Asia,,1876,686769600,2808297
Asia,,1877,694732000,2890141
Asia,,1878,684767500,5458039
Asia,,1879,682175360,5671325
Asia,,1880,766011300,6189085
Asia,,1881,796774850,6348237
Asia,,1882,832264300,6876694
Asia,,1883,870871800,7604654
Asia,,1884,867776300,8188970
Asia,,1885,858116600,8536283
Asia,,1886,895738050,9111720
Asia,,1887,895961340,10535128
Asia,,1888,894537300,11715276
Asia,,1889,904508100,13780681
Asia,,1890,1018768500,15084545
Asia,,1891,1183925600,17201384
Asia,,1892,1218042000,18272584
Asia,,1893,1245303700,20411456
Asia,,1894,1267771400,22746340
Asia,,1895,1287994600,26302372
Asia,,1896,1307388900,28028198
Asia,,1897,1302294700,30485036
Asia,,1898,1297690400,36486296
Asia,,1899,1326947500,38644710
Asia,,1900,1373942100,43998036
Asia,,1901,1399591200,50358500
Asia,,1902,1437920600,52400960
Asia,,1903,1437212400,55056710
Asia,,1904,1431836300,61901096
Asia,,1905,1426112000,62997452
Asia,,1906,1432408400,70275550
Asia,,1907,1455156000,97189900
Asia,,1908,1464835600,105978184
Asia,,1909,1425366500,109197390
Asia,,1910,1586625200,110769210
Asia,,1911,1619402500,117750040
Asia,,1912,1641249400,119763160
Asia,,1913,1679227800,137350700
Asia,,1914,1710501600,142861780
Asia,,1915,1724498600,136647150
Asia,,1916,1708230300,149888400
Asia,,1917,1717977600,161983650
Asia,,1918,1755107300,166873390
Asia,,1919,1729982300,183556770
Asia,,1920,1788722800,175426770
Asia,,1921,1770743700,171794930
Asia,,1922,1777830400,181275740
Asia,,1923,1755354200,199207040
Asia,,1924,1771746400,213276580
Asia,,1925,1799063900,215441520
Asia,,1926,1793689200,218809420
Asia,,1927,1799920300,236791950
Asia,,1928,1806389500,248391970
Asia,,1929,1819792600,258343380
Asia,,1930,1848236300,257919020
Asia,,1931,1874860300,248672340
Asia,,1932,1895879300,248757810
Asia,,1933,1878786800,273053950
Asia,,1934,1891516900,309595840
Asia,,1935,1879055100,337246800
Asia,,1936,1880656800,364124260
Asia,,1937,1895143400,385461900
Asia,,1938,1889132000,394693250
Asia,,1939,1872391700,418811070
Asia,,1940,1929792100,471755680
Asia,,1941,1977080600,478348770
Asia,,1942,2015585700,447379940
Asia,,1943,2032537000,440089820
Asia,,1944,2054698500,440538900
Asia,,1945,2060482400,328069900
Asia,,1946,2057604000,315584400
Asia,,1947,2058297100,380350000
Asia,,1948,2067632500,383931260
Asia,,1949,2089606700,382588380
Asia,,1950,2619050200,400538660
Asia,,1951,2763084000,454912480
Asia,,1952,2935264500,504556450
Asia,,1953,3079916300,540103200
Asia,,1954,3201913300,591870460
Asia,,1955,3341518800,674600200
Asia,,1956,3468768500,749081200
Asia,,1957,3575481000,843316500
Asia,,1958,3715564500,1137698600
Asia,,1959,3993325600,1373387100
Asia,,1960,2782605000,1538169200
Asia,,1961,2857014300,1393016700
Asia,,1962,2682942200,1342041900
Asia,,1963,2534402000,1422549800
Asia,,1964,2439912000,1506792300
Asia,,1965,2193841200,1649219000
Asia,,1966,2217371000,1796366200
Asia,,1967,2166427600,1824324200
Asia,,1968,1961645400,2015173600
Asia,,1969,2027274400,2288600000
Asia,,1970,1769725200,2695769600
Asia,,1971,2154711000,2950089000
Asia,,1972,2428126200,3120029000
Asia,,1973,2503639000,3351352300
Asia,,1974,2163812600,3410965200
Asia,,1975,2178500000,3576356000
Asia,,1976,2183931600,3801276000
Asia,,1977,2211255600,4045921000
Asia,,1978,2216490200,4227023400
Asia,,1979,1901814900,4400641500
Asia,,1980,1992598700,4395379700
Asia,,1981,2660611000,4368962000
Asia,,1982,2767475500,4518591000
Asia,,1983,3292672500,4700642300
Asia,,1984,4490294300,4974816000
Asia,,1985,3866223000,5266013700
Asia,,1986,4230253000,5492050000
Asia,,1987,3691022300,5727687000
Asia,,1988,3405162800,6189060000
Asia,,1989,3264877000,6404369400
Asia,,1990,2767056600,6608574500
Asia,,1991,2187254300,7405573000
Asia,,1992,2476764700,7248764400
Asia,,1993,2217464000,7582536000
Asia,,1994,2669888000,7937216500
Asia,,1995,2363543300,8257986000
Asia,,1996,2549183200,8596896000
Asia,,1997,4167509200,8717279000
Asia,,1998,2802852000,8473237000
Asia,,1999,2642499300,8952734000
Asia,,2000,2313207000,9328854000
Asia,,2001,2030382500,9491190000
Asia,,2002,2132496900,10012849000
Asia,,2003,1957058800,11021268000
Asia,,2004,2129705000,11680722000
Asia,,2005,1778915600,12527827000
Asia,,2006,2262997800,13389901000
Asia,,2007,1647753300,14088936000
Asia,,2008,1853361000,14828029000
Asia,,2009,2115647700,15345886000
Asia,,2010,1352110800,16496831000
Asia,,2011,1777614500,17715628000
Asia,,2012,1735403000,18400993000
Asia,,2013,1666613000,18635370000
Asia,,2014,2534850600,18959088000
Asia,,2015,2647905500,19113157000
Asia,,2016,1594949800,19244577000
Asia,,2017,1974588800,19773784000
Asia,,2018,2033823200,20401152000
Asia,,2019,2603849700,20855636000
Asia,,2020,2421081300,20519535000
Asia,,2021,2525785000,21438681000
Asia,,2022,2609110500,21772347000
Europe,,1850,1078753200,176775170
Europe,,1851,1080804200,173859040
Europe,,1852,1097851600,180432720
Europe,,1853,1098606000,186703490
Europe,,1854,1113120400,221565870
Europe,,1855,1116259800,221537950
Europe,,1856,1114449000,236781490
Europe,,1857,1113689300,238329620
Europe,,1858,1115027300,241521540
Europe,,1859,1106811400,254665150
Europe,,1860,1065850240,281813200
Europe,,1861,1071584700,300479550
Europe,,1862,1067374100,305041120
Europe,,1863,1062348350,321231260
Europe,,1864,1063217700,346628300
Europe,,1865,1055201200,371215300
Europe,,1866,1068156500,383594200
Europe,,1867,1077675800,401824960
Europe,,1868,1068726460,406195200
Europe,,1869,1069356740,425361200
Europe,,1870,1144744600,431415100
Europe,,1871,1175836800,459749340
Europe,,1872,1200121300,496539900
Europe,,1873,1218651500,522505340
Europe,,1874,1242055400,484553570
Europe,,1875,1255681200,534645570
Europe,,1876,1262233300,547136100
Europe,,1877,1270501900,545944060
Europe,,1878,1304573000,551760260
Europe,,1879,1291150700,569583000
Europe,,1880,1331851500,640737540
Europe,,1881,1344027500,657770100
Europe,,1882,1362033800,680194400
Europe,,1883,1369195100,718762050
Europe,,1884,1382664000,714139650
Europe,,1885,1392840800,716654460
Europe,,1886,1399937400,715981300
Europe,,1887,1418753300,743280800
Europe,,1888,1423409800,787500400
Europe,,1889,1427461200,824552260
Europe,,1890,1582352100,862566300
Europe,,1891,1587440400,893004000
Europe,,1892,1601860700,879312830
Europe,,1893,1612087600,854870100
Europe,,1894,1618524300,927907600
Europe,,1895,1634219300,952615700
Europe,,1896,1633883900,996152960
Europe,,1897,1642110000,1045652100
Europe,,1898,1648764700,1079152100
Europe,,1899,1656225000,1149499400
Europe,,1900,1768378500,1205740700
Europe,,1901,1845885800,1195211300
Europe,,1902,1903058700,1196072700
Europe,,1903,1952710800,1245153500
Europe,,1904,2023038300,1268420100
Europe,,1905,2056812200,1305678100
Europe,,1906,2100664800,1347412200
Europe,,1907,2147651600,1492824000
Europe,,1908,2172458800,1517238000
Europe,,1909,2216120600,1518849500
Europe,,1910,1767980900,1538628400
Europe,,1911,1612536600,1574126000
Europe,,1912,1502850700,1632516000
Europe,,1913,1398829000,1767390800
Europe,,1914,1314778600,1573950200
Europe,,1915,1226961800,1492850200
Europe,,1916,1163778700,1561168400
Europe,,1917,1093291100,1533407700
Europe,,1918,1029413250,1394110300
Europe,,1919,959453630,1183809300
Europe,,1920,1132090000,1373714700
Europe,,1921,1202348800,1253162200
Europe,,1922,1237357600,1397922800
Europe,,1923,1249866200,1335736800
Europe,,1924,1264728600,1541567200
Europe,,1925,1292915700,1526838700
Europe,,1926,1303782300,1308494000
Europe,,1927,1316729700,1670274800
Europe,,1928,1333028500,1676897500
Europe,,1929,1347665900,1820403000
Europe,,1930,1575488100,1721389300
Europe,,1931,1644091900,1606790700
Europe,,1932,1710598700,1493113600
Europe,,1933,1756745700,1537479300
Europe,,1934,1810861800,1682513900
Europe,,1935,1841559200,1767221900
Europe,,1936,1886764700,1876986400
Europe,,1937,1904083800,2037087600
Europe,,1938,1936206200,2046506900
Europe,,1939,1963451600,2094696600
Europe,,1940,1478028300,2228871200
Europe,,1941,1291424900,2143799000
Europe,,1942,1133359100,1997100000
Europe,,1943,993537500,2003704800
Europe,,1944,852865660,1890189300
Europe,,1945,714645200,1234279600
Europe,,1946,599077570,1657621400
Europe,,1947,487745250,1908460500
Europe,,1948,371619360,2056942600
Europe,,1949,278082700,2243740200
Europe,,1950,581482050,2383384000
Europe,,1951,677254460,2630270000
Europe,,1952,805604860,2714044400
Europe,,1953,873863040,2791584800
Europe,,1954,926436800,2970115000
Europe,,1955,1009923300,3233784800
Europe,,1956,1074688500,3445350100
Europe,,1957,1124801700,3593321500
Europe,,1958,1149704200,3631810600
Europe,,1959,1494677100,3713288400
Europe,,1960,1031317760,3964574500
Europe,,1961,1056810400,4109427000
Europe,,1962,625140860,4336451600
Europe,,1963,522573120,4609470500
Europe,,1964,506329000,4839294000
Europe,,1965,418820380,4981611000
Europe,,1966,415511070,5153137700
Europe,,1967,378281800,5267011600
Europe,,1968,425837060,5512483000
Europe,,1969,323445440,5812589600
Europe,,1970,509216580,6094492700
Europe,,1971,306448420,6323188000
Europe,,1972,271181630,6552128500
Europe,,1973,320460540,6844701700
Europe,,1974,269902340,6862857000
Europe,,1975,279103740,6902365700
Europe,,1976,272381250,7277034000
Europe,,1977,265739490,7333232600
Europe,,1978,226665040,7565711000
Europe,,1979,232992420,7745266700
Europe,,1980,389204600,7749258000
Europe,,1981,273798820,7467589600
Europe,,1982,271808700,7407606300
Europe,,1983,285905800,7414092000
Europe,,1984,274987550,7465076700
Europe,,1985,249631600,7789208600
Europe,,1986,263063220,7802156000
Europe,,1987,269666340,7825480700
Europe,,1988,236458000,7862962000
Europe,,1989,242141730,7828834300
Europe,,1990,216764620,8038430700
Europe,,1991,155140400,7738463000
Europe,,1992,17072630,7097750500
Europe,,1993,-10718965,6807967000
Europe,,1994,-39605200,6447623000
Europe,,1995,-105425920,6424747500
Europe,,1996,314330750,6473145300
Europe,,1997,-93122940,6267733500
Europe,,1998,-99017110,6240960000
Europe,,1999,-84363560,6157762000
Europe,,2000,-213037520,6155590700
Europe,,2001,-266162160,6282255400
Europe,,2002,-284798720,6249997000
Europe,,2003,-229982200,6396391000
Europe,,2004,-218680560,6429227000
Europe,,2005,-189051820,6421545500
Europe,,2006,-214587790,6522041000
Europe,,2007,-96611760,6479696000
Europe,,2008,-159167100,6404985300
Europe,,2009,76128660,5892881400
Europe,,2010,219079760,6123992000
Europe,,2011,-21895738,6049206000
Europe,,2012,213462670,5999425000
Europe,,2013,67924130,5844850700
Europe,,2014,-58473736,5614210000
Europe,,2015,262369650,5614495000
Europe,,2016,266637420,5606777000
Europe,,2017,278745660,5638487600
Europe,,2018,289241920,5612440600
Europe,,2019,115005784,5436361000
Europe,,2020,184381170,5029197000
Europe,,2021,183764160,5310309000
Europe,,2022,203448980,5105307600
North America,,1850,949406460,19851552
North America,,1851,1008296060,24702688
North America,,1852,1046016400,26875440
North America,,1853,1093394000,30264640
North America,,1854,1119081300,33283774
North America,,1855,1135365400,38310784
North America,,1856,1154163300,40216064
North America,,1857,1190321000,41271296
North America,,1858,1219716500,41912496
North America,,1859,1253492400,45635120
North America,,1860,1144099000,47818864
North America,,1861,1060602000,46137090
North America,,1862,1052386800,48009390
North America,,1863,1037283800,55513264
North America,,1864,1015949800,59499696
North America,,1865,980568700,59840450
North America,,1866,978976640,60474320
North America,,1867,980825300,74459810
North America,,1868,969535700,83297380
North America,,1869,947997000,94380980
North America,,1870,1294513500,99844000
North America,,1871,1429354500,104801390
North America,,1872,1507692500,128152060
North America,,1873,1596810000,141115300
North America,,1874,1668186600,135919740
North America,,1875,1706405500,137623500
North America,,1876,1751738800,134677660
North America,,1877,1808507100,149198080
North America,,1878,1859862000,145838190
North America,,1879,1919719400,177652700
North America,,1880,1774711600,203916430
North America,,1881,1693705000,215784160
North America,,1882,1698895900,242011140
North America,,1883,1711889800,261313170
North America,,1884,1701232300,276189000
North America,,1885,1684773900,280406270
North America,,1886,1690964700,296260400
North America,,1887,1709741800,317530100
North America,,1888,1695834100,387186430
North America,,1889,1682875400,346834850
North America,,1890,1774275800,414160930
North America,,1891,1798352100,441886400
North America,,1892,1794454500,464918340
North America,,1893,1838479400,469480000
North America,,1894,1848549100,439768640
North America,,1895,1849910800,493973900
North America,,1896,1869372900,496110050
North America,,1897,1880362200,515774850
North America,,1898,1897411000,561765500
North America,,1899,1923143700,645458800
North America,,1900,1893691100,684367040
North America,,1901,1878477000,746684540
North America,,1902,1894136800,791569000
North America,,1903,1883606100,923924100
