Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,19.66790076,19.95736392,20.00577011,19.7166851,18.92618507,15.42933383,30.51326941,36.40090408,95.20858767,121.0305677,114.6751521,191.5890417,204.1455194,239.2286048,246.7267804,219.7726918,127.8786016,143.9411145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,1587419.453,962644.8691,1013296.704,1074440.171,949134.9734,1101878.99,984931.8485,1119055.278,1176444.985,1529059.238,1293217.179,1138988.142,1279080.966,1289548.543,1032199.443,1043607.774,969010.5281,1294200.334,954367.2447,1053647.877,-23342.39655,-24323.73606,-29755.71562,-22821.26338,-23583.99622,-21069.70663,-24252.47034,-26831.09998,-23891.5332,-22184.44696,-20582.66296,29919.73966,27150.51747,22082.33366,28499.03649,16324.45955,15362.02719,18215.2631,24455.62422,27924.61692,42800.27079,48331.31989,72440.63354,70001.98666,73024.7117,68559.00421,73149.43151,,,,,,,
Afghanistan,AFG,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,-679.915897,-584.266024,-365.0309814,-295.7562842,-67.27859047,-887.2323948,-824.0528984,-357.9534546,-2135.118274,-1357.840067,-328.3212045,-321.667406,-450.7822333,-419.1037006,-454.1072595,-170.0989893,-18.96353271,-119.1234045,97.03265808,84.75115906,935.0644073,765.9382629,-263.0768204,-325.7089996,-650.3169022,-1003.030754,-1066.260746,-1008.483524,-992.5396156,-1274.8111,-1556.072842,-1452.085331,-1189.82819,-1123.433636,-1604.836014,-1272.787895,-1163.728977,-381.2660675,613.0169792,1144.771751,2581.595875,5607.860027,3299.161961,714.056015,-416.5378494,-691.2025146,-1800.003578,,,,,,,
Africa Western and Central,AFW,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,352152.3987,318598.9583,315458.3311,331985.4932,260832.4012,289022.7032,288489.0569,342378.101,302469.9178,332610.5482,390008.1876,333618.8335,383259.6616,364055.9742,352539.3263,325081.0424,326681.5698,349616.0379,314391.3443,344491.1324,-5069.357316,-405.5547453,3061.33683,8758.769846,5292.297155,628.3205383,-6522.247639,-9544.919199,-5909.887628,-7155.317077,-13492.36763,-10610.09031,1790.315023,-96.46691981,6671.859092,16313.80112,22860.66149,27861.38122,29389.33677,21972.71021,31147.88313,37461.94983,47762.83298,56312.08663,67013.96117,58562.63919,60900.75713,,,,,,,
Angola,AGO,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,800.6982621,1098.795636,410.6709098,-331.5519336,-536.0659441,-159.851059,1990.557829,-1459.180233,-2181.470608,-2191.464963,-2269.064511,-1652.951637,-1604.037876,-1832.51067,-1991.25859,-2078.534272,-2161.559957,-2394.978779,-2326.835323,-2380.311671,-4072.42688,-4359.62323,-4811.072235,-4329.139725,-3969.140976,-1139.913162,-2924.409073,-3252.352112,-4091.841705,-3809.492004,-2730.183899,-1945.818909,-1079.994446,1883.654175,3070.825684,3464.719421,4681.312012,7244.090698,6583.134155,6826.585938,5488.927002,6458.200439,7743.197998,8441.258057,8094.435791,5850.063721,5203.067139,,,,,,,
Albania,ALB,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,20.85856445,51.08352295,81.99968994,110.9946045,141.9225488,169.3809863,207.0886768,237.3130127,257.4020288,297.1585522,327.6953931,348.8554248,366.3387964,414.0703442,449.5407861,463.8016772,488.8613916,239.3414258,559.9126562,457.0427417,-459.987793,-182.5437317,-59.98727417,-77.89381409,-142.3374939,-70.5606842,-30.73625183,-28.31440735,86.1913147,45.25973511,150.6560364,-5.313842773,-6.624130249,59.41000366,79.30082703,98.80537415,151.1876373,219.9431763,248.6710579,855.4529252,809.1348,1014.18354,681.6436837,715.2188396,709.8863869,403.3905323,11.68135953,,,,,,,
Andorra,AND,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,31092.35662,30155.14735,31166.92642,30469.97798,32944.78034,34257.89161,32852.87556,35291.40477,35341.07413,45465.61256,47867.27055,50657.95418,58753.80663,59114.00377,58720.83552,50240.67516,43506.6573,26131.53195,38078.86114,30446.32033,-20949.29579,-28917.75802,-31868.11591,-34136.05455,-41057.29668,-47828.05331,-46074.253,-56780.00114,-51846.14744,-52008.93746,-62528.86455,-50429.22351,-59034.69146,-69191.47827,-38475.27107,-15198.40694,6822.389791,-133.1151938,15370.98503,1529.838937,7008.092667,15327.47932,57161.69065,82189.37935,108300.6406,92241.34363,84106.45591,,,,,,,
United Arab Emirates,ARE,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,2393.426431,2401.243378,2413.85519,2438.89578,2475.737968,2401.445393,2405.77326,2315.161359,2302.332089,2330.692729,2351.945963,2170.719946,2117.41881,2226.685977,1947.744528,1564.832141,1345.033267,-2870.77692,1156.390942,914.1104065,-67.71826172,-1756.640991,-1389.53595,-2233.369385,-2720.924683,-3226.687378,-8227.176804,-1251.839783,-2108.419861,-2275.089661,-7665.834534,3717.772034,-5127.8731,-5647.059982,-4262.692657,-1212.231903,-3071.302216,-3213.01741,-1031.513794,-4866.131866,-6551.572876,-8495.552673,-9491.328064,-6184.075989,-8214.882996,-12963.21484,-16708.68762,,,,,,,
Argentina,ARG,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,17602.07548,10638.49241,14205.92517,10569.76084,11693.03439,14271.12398,17906.51684,12852.30469,15510.3002,17601.01197,19326.46795,16800.2565,17864.03225,18212.1174,14073.78563,14934.18084,16058.06328,16165.09035,16691.83924,17256.47193,-4569.856445,-3650.960449,-4835.215332,-2950.816895,-7872.699219,-7740.102051,-6592.627441,-9600.470703,-7081,-8791.44043,-8326.802734,-5126.261719,-4499.005859,-3526.477539,-6496.553711,-6426.731445,-5605.788086,-2377.050781,-8523.21875,-9063.960938,-4037.260742,1716.799805,5004.810547,15125.32227,390.8671875,4650.769531,3701.727539,,,,,,,
Armenia,ARM,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,-6425.551628,-6403.593193,-6922.578254,-7428.708301,-7948.660286,-5769.096841,-5967.738398,-6082.384246,-6194.88031,-6301.696655,-6375.177893,-6201.064758,-6032.632947,-6026.813708,-6106.151489,-6113.452063,-6033.573694,-6326.486987,-6023.259656,-5963.706348,-731.9904785,-743.5241089,19.75012207,-18.61019897,-5.510810852,27.89847565,58.72003937,81.48194885,89.83853912,112.7770309,109.0981903,102.8026733,162.9900818,179.9400787,193.9560547,206.9264221,198.2611084,237.505249,218.5889893,208.4927979,468.6383972,477.4430847,1254.094574,1329.728714,1320.557663,1148.570404,722.1551208,,,,,,,
American Samoa,ASM,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,-2.22E-16,-7.77E-16,-3.33E-16,2.22E-16,-5.55E-16,7.77E-16,0,-4.44E-16,-8.88E-16,-4.44E-16,8.88E-16,2.22E-15,1.55E-15,-7.77E-16,-6.66E-16,4.44E-16,1.11E-16,1.33E-15,0,6.66E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,,,,,,,,,,,73.69055076,185.6483146,256.6294982,206.8869734,210.7142935,138.9112214,97.34288603,75.31402073,89.5869217,78.8378593,-33.71844089,-26.39768571,44.7946527,38.96337181,11.73093259,32.0744105,47.86318654,84.95668417,128.9537093,144.0302308,132.1037259,157.204697,225.6291766,243.4902155,240.1896909,265.4456672,326.965786,369.3428934,418.1947011,1369.781805,478.3754325,489.161253,707.8272207,440.6554656,434.4590026,447.7774418,471.2365613,,,,,,,
Australia,AUS,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,12284.48873,9389.215875,20480.07334,10112.63191,13474.21852,18236.84287,28145.40549,28655.86546,18386.20463,29319.41095,33960.19847,17566.61197,29812.33263,18980.26206,21024.22162,36588.76408,27892.56441,9421.270891,20981.74076,23024.1855,-6368.110352,-7277.887695,-7024.25,-7833.637695,-9208.109375,-9568.018555,-8971.488281,-11488.48047,-10248.73828,-14568.70898,-14652.55273,-19953.36914,-22264.91016,-31996.65625,-33870.81445,-33892.53906,-25249.10547,-34203.03711,-32988.63867,-31081.38086,-21765.14063,-30485.05273,-20663.68164,-22742.50586,-22586.55273,-29898.16016,-17268.70508,,,,,,,
Austria,AUT,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,705.0245117,1033.036566,1091.845859,1184.457363,1036.321855,1097.459336,1133.055449,1202.178359,1303.891816,1377.231191,1362.786797,1380.055859,1330.763066,1420.485547,1836.066406,1895.026953,1959.251367,1463.340625,2279.431543,2383.703711,-1422.249023,-994.2397461,-1343.394531,-1089.030273,-1147.763672,-1155.691406,-1170.312012,-1416.209961,-1775.243164,-1575.009277,-1626.548828,-1709.950195,-1950.814941,-2000.104492,-1727.624512,-2564.827637,-1973.505371,-2624.075684,-3889.251465,-2790.618164,-3482.37793,-4557.252441,-6628.825195,-6344.071289,-6359.189453,-7723.857422,-8604.113281,,,,,,,
Azerbaijan,AZE,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,-13911.53268,-13888.93938,-15049.06852,-15631.05724,-16211.34192,-13216.26913,-14138.4328,-14930.46935,-15752.46561,-16386.99115,-17059.79462,-14747.88406,-14913.89792,-15447.98115,-16318.58691,-16279.46616,-18170.73569,-20652.62349,-19615.18727,-20384.60674,4348.754028,15085.79944,2851.700806,16831.04816,14856.24594,13928.55545,13717.35104,14139.63358,14081.21011,12591.34186,12248.19342,12351.30347,12007.55206,5759.091187,5834.601074,6641.530029,3756.862793,-89.8840332,-842.5943604,-248.6547852,-53.94232178,1115.262085,1882.734253,1679.155273,1716.497192,-1162.831177,-514.2347412,,,,,,,
Burundi,BDI,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,-128.2959686,-118.8427318,-132.0965747,-123.3101465,-123.890274,-138.8503111,-111.943599,-119.8733708,-116.9338659,-143.2232742,-142.7354464,-124.8758067,-152.0524132,-123.9774746,-94.17082465,-100.509874,-92.10690576,-159.1823125,-106.3503156,-104.8113643,-233.0785356,-263.3809614,-292.5197754,-315.4064736,-400.8569183,-425.4455566,-409.5460234,-486.0793409,-388.8739667,-334.2008781,-265.8159499,-391.2207851,-386.2474389,-514.4046516,-527.192029,-508.2973256,-472.0966344,-520.2242799,-559.8150053,-490.8712845,-446.8649225,-407.8543434,-388.1126289,-350.0115204,-377.4006042,-343.7416954,-293.6178551,,,,,,,
Belgium,BEL,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,-4456.85168,71.93245781,162.2303063,753.7324344,619.4726094,643.8106406,843.3140781,763.1362891,844.1381875,1061.076,932.7482813,906.8078906,311.2671484,535.422207,500.3180469,973.1117383,1209.848984,1034.624844,1014.620195,714.676582,-5542.092773,-5006.775391,-4701.380859,-4587.998047,-4885.361328,-5438.976563,-5607.964844,-4912.003906,-5007.143555,-4846.424805,-3647.873047,-2142.806641,-2465.331055,-4954.703613,-3384.563477,-2270.426758,-1649.671875,-1768.132813,-3268.46875,343.0708008,651.6347656,-294.8999023,4130.307129,4545.525391,3824.575195,4896.526367,2697.187012,,,,,,,
Benin,BEN,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,28812.87077,28159.97352,27873.38992,30056.98145,24030.45836,25524.61947,26131.49985,30389.92095,26143.62619,28368.49969,34776.20481,29399.2942,33775.02329,31624.1622,31494.3207,28854.95011,29117.91321,30344.43701,28242.17832,30507.2817,-9.876091003,8.476985931,7.940494537,53.31690598,47.45208931,109.9176979,42.76871872,-38.53902054,102.3144493,109.9177322,132.1392288,140.8755913,151.8256912,154.6494598,166.8724098,171.3613892,204.4630737,263.3204498,306.9895172,369.371376,429.5688324,164.3087006,-163.6117859,-156.4123306,-64.11108398,436.9074707,1486.290756,,,,,,,
Burkina Faso,BFA,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,-178.780388,-170.364396,-224.8582142,-170.035318,-169.6450378,-222.9336422,-141.3627508,-155.6964114,-143.0716544,-163.4269581,-133.302621,-133.8069178,-144.2528382,-113.1818282,-94.65668099,-114.5061967,-47.1789359,-193.0602365,-100.3515967,-156.22234,-126.636055,-271.4162197,-252.3955841,-271.8394308,-407.4079733,-427.6529884,-347.5351677,-499.5198212,-294.7039013,-152.9271393,30.85987091,-29.9559803,48.25008774,44.69495583,19.02485657,-40.86100388,190.722126,308.41605,268.9390869,395.2140045,409.3630981,523.4024506,1046.018799,1410.58548,1527.489471,1959.54155,2087.929794,,,,,,,
Bangladesh,BGD,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,8461.326235,8526.615027,8566.611487,8598.216989,8782.108897,8801.209329,8897.515386,9204.350398,9250.775759,9293.712571,9390.661748,9426.884141,9535.282205,9629.43824,11700.83206,9725.517002,9828.04291,8522.959048,9717.577158,9824.93502,-1915.082886,-1784.205078,-2345.101807,-2427.80188,-2686.609375,-3344.193115,-3339.780762,-2925.25,-3055.157227,-3659.928711,-4120.265137,-4612.364746,-4650.720947,-4926.19873,-3975.52832,-5085.910645,-4113.313477,-5554.934082,-7955.111816,-9047.614746,-8226.089844,-4216.924805,-1652.130859,-1632.916016,-325.2832031,2224.116211,1513.770508,,,,,,,
